ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
461886126,1057320623,1704176528,1704176528530,1,0,0,1057320623,1,0.02,2076.415,0.0,0.0,0.0,0.0,XAUUSDm,,
461897129,1058312219,1704179206,1704179206628,1,0,0,1058312219,1,0.04,2074.068,0.0,0.0,0.0,0.0,XAUUSDm,,
461897749,1058334825,1704179323,1704179323440,1,0,0,1058334825,1,0.02,2075.517,0.0,0.0,0.0,0.0,XAUUSDm,,
461897821,1058337097,1704179334,1704179334109,1,0,0,1058337097,1,0.02,2075.4120000000003,0.0,0.0,0.0,0.0,XAUUSDm,,
461937798,1059972649,1704187883,1704187883671,1,0,0,1059972649,1,0.02,2075.39,0.0,0.0,0.0,0.0,XAUUSDm,,
461942607,1060002529,1704188266,1704188266283,0,1,0,1058312219,6,0.04,2077.902,0.0,0.0,-15.34,0.0,XAUUSDm,[so at 0.00% ],
461942627,1060002622,1704188266,1704188266310,0,1,0,1059972649,6,0.02,2077.958,0.0,0.0,-5.14,0.0,XAUUSDm,[so at 0.00% ],
461942634,1060002629,1704188266,1704188266318,0,1,0,1058337097,6,0.02,2077.958,0.0,0.0,-5.1,0.0,XAUUSDm,[so at 0.00% ],
461942637,1060002632,1704188266,1704188266321,0,1,0,1058334825,6,0.02,2077.958,0.0,0.0,-4.89,0.0,XAUUSDm,[so at 0.00% ],
461942640,1060002636,1704188266,1704188266329,0,1,0,1057320623,6,0.02,2077.958,0.0,0.0,-3.09,0.0,XAUUSDm,[so at 0.00% ],
461942876,0,1704188266,1704188266831,2,0,0,0,0,0.0,0.0,0.0,0.0,1.49,0.0,,D-NULL,
462023243,0,1704196347,1704196347697,2,0,0,0,0,0.0,0.0,0.0,0.0,41.09,0.0,,D-BANKVNGT-USD-1458256075,
462072174,1060433440,1704201446,1704201446855,0,0,0,1060433440,1,0.02,2065.7400000000002,0.0,0.0,0.0,0.0,XAUUSDm,,
462072336,1060433916,1704201466,1704201466694,0,0,0,1060433916,1,0.02,2065.805,0.0,0.0,0.0,0.0,XAUUSDm,,
462073178,1060436697,1704201547,1704201547459,0,0,0,1060436697,1,0.02,2065.977,0.0,0.0,0.0,0.0,XAUUSDm,,
462080743,1060460057,1704202153,1704202153627,0,0,0,1060460057,1,0.02,2067.4990000000003,0.0,0.0,0.0,0.0,XAUUSDm,,
462099588,1060514532,1704203501,1704203501652,0,0,0,1060514532,1,0.02,2066.7780000000002,0.0,0.0,0.0,0.0,XAUUSDm,,
462111708,1060553328,1704204519,1704204519286,0,0,0,1060553328,1,0.02,2066.5570000000002,0.0,0.0,0.0,0.0,XAUUSDm,,
462138744,1060653522,1704206535,1704206535007,1,1,0,1060460057,6,0.02,2062.967,0.0,0.0,-9.07,0.0,XAUUSDm,[so at 0.00% ],
462138884,1060653622,1704206535,1704206535167,1,1,0,1060514532,6,0.02,2062.798,0.0,0.0,-7.96,0.0,XAUUSDm,[so at 0.00% ],
462138908,1060653646,1704206535,1704206535195,1,1,0,1060553328,6,0.02,2062.83,0.0,0.0,-7.45,0.0,XAUUSDm,[so at 0.00% ],
462138921,1060653653,1704206535,1704206535206,1,1,0,1060436697,6,0.02,2062.83,0.0,0.0,-6.29,0.0,XAUUSDm,[so at 0.00% ],
462138926,1060653659,1704206535,1704206535226,1,1,0,1060433916,6,0.02,2062.83,0.0,0.0,-5.95,0.0,XAUUSDm,[so at 0.00% ],
462138928,1060653669,1704206535,1704206535229,1,1,0,1060433440,6,0.02,2062.83,0.0,0.0,-5.82,0.0,XAUUSDm,[so at 0.00% ],
462138964,0,1704206535,1704206535734,2,0,0,0,0,0.0,0.0,0.0,0.0,1.45,0.0,,D-NULL,
462181480,0,1704209047,1704209047767,2,0,0,0,0,0.0,0.0,0.0,0.0,41.09,0.0,,D-BANKVNGT-USD-1458382869,
462181707,1060808758,1704209063,1704209063544,0,0,0,1060808758,1,0.02,2064.9900000000002,0.0,0.0,0.0,0.0,XAUUSDm,,
462181874,1060809559,1704209084,1704209084229,0,0,0,1060809559,1,0.02,2064.972,0.0,0.0,0.0,0.0,XAUUSDm,,
462182459,1060813685,1704209162,1704209162477,0,0,0,1060813685,1,0.02,2064.812,0.0,0.0,0.0,0.0,XAUUSDm,,
