ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1057317393,1704173526,1704173526171,1704179248,1704179248977,0,3,0,2,2,0,0,0,1,0.02,0.02,2078.8,2081.4,2046.8,2074.086,0.0,XAUUSDm,,
1057320623,1704173549,1704173549090,1704176528,1704176528530,0,3,0,2,4,0,1057320623,0,1,0.02,0.0,2076.4,2081.8,2046.8,2076.415,0.0,XAUUSDm,,
1057324606,1704173576,1704173576571,1704179344,1704179344478,0,3,0,2,2,0,0,0,1,0.02,0.02,2077.4,2081.8,2046.8,2075.554,0.0,XAUUSDm,,
1057338857,1704173659,1704173659759,1704179340,1704179340291,0,3,0,2,2,0,0,0,1,0.02,0.02,2077.4,2081.8,0.0,2075.606,0.0,XAUUSDm,,
1057364147,1704173797,1704173797730,1704179237,1704179237655,0,3,0,2,2,0,0,0,1,0.02,0.02,2078.4,2081.8,0.0,2074.278,0.0,XAUUSDm,,
1058312219,1704179206,1704179206626,1704179206,1704179206628,0,1,0,0,4,0,1058312219,0,1,0.04,0.0,0.0,0.0,0.0,2074.068,0.0,XAUUSDm,,
1058334825,1704179323,1704179323438,1704179323,1704179323440,0,1,0,0,4,0,1058334825,0,1,0.02,0.0,0.0,0.0,0.0,2075.517,0.0,XAUUSDm,,
1058337097,1704179334,1704179334107,1704179334,1704179334109,0,1,0,0,4,0,1058337097,0,1,0.02,0.0,0.0,0.0,0.0,2075.412,0.0,XAUUSDm,,
1059972649,1704187883,1704187883669,1704187883,1704187883671,0,1,0,0,4,0,1059972649,0,1,0.02,0.0,0.0,0.0,0.0,2075.39,0.0,XAUUSDm,,
1060002529,1704188266,1704188266240,1704188266,1704188266283,0,0,0,1,4,0,1058312219,0,6,0.04,0.0,2077.902,0.0,0.0,2077.902,0.0,XAUUSDm,[so at 0.00% ],
1060002622,1704188266,1704188266284,1704188266,1704188266310,0,0,0,1,4,0,1059972649,0,6,0.02,0.0,2077.958,0.0,0.0,2077.958,0.0,XAUUSDm,[so at 0.00% ],
1060002629,1704188266,1704188266310,1704188266,1704188266318,0,0,0,1,4,0,1058337097,0,6,0.02,0.0,2077.958,0.0,0.0,2077.958,0.0,XAUUSDm,[so at 0.00% ],
1060002632,1704188266,1704188266319,1704188266,1704188266321,0,0,0,1,4,0,1058334825,0,6,0.02,0.0,2077.958,0.0,0.0,2077.958,0.0,XAUUSDm,[so at 0.00% ],
