ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
687915045,1902036766,2025-01-03 02:46:42,1735872402596,1,0,0,1902036766,1,0.02,2660.356,0.0,0.0,0.0,0.0,XAUUSDm,,
687915318,1902037055,2025-01-03 02:47:53,1735872473324,1,0,0,1902037055,1,0.02,2660.407,0.0,0.0,0.0,0.0,XAUUSDm,,
687916491,1902038230,2025-01-03 02:53:34,1735872814299,1,0,0,1902038230,1,0.02,2660.782,0.0,0.0,0.0,0.0,XAUUSDm,,
687916575,1902036820,2025-01-03 02:54:06,1735872846375,1,0,0,1902036820,0,0.02,2661.4,0.0,0.0,0.0,0.0,XAUUSDm,,proactive
687918372,1902036907,2025-01-03 02:58:33,1735873113570,1,0,0,1902036907,0,0.02,2662.4,0.0,0.0,0.0,0.0,XAUUSDm,,proactive
687926527,1902047846,2025-01-03 03:20:04,1735874404435,0,1,0,1902036766,6,0.02,2664.954,0.0,0.0,-9.2,0.0,XAUUSDm,[so 0.00%/-0.11/0.00],
687926529,1902047848,2025-01-03 03:20:04,1735874404438,0,1,0,1902037055,6,0.02,2664.954,0.0,0.0,-9.1,0.0,XAUUSDm,[so 0.00%/-0.11/0.00],
687926530,1902047849,2025-01-03 03:20:04,1735874404439,0,1,0,1902038230,6,0.02,2664.954,0.0,0.0,-8.35,0.0,XAUUSDm,[so 0.00%/-0.11/0.00],
687926531,1902047850,2025-01-03 03:20:04,1735874404440,0,1,0,1902036820,6,0.02,2664.954,0.0,0.0,-7.11,0.0,XAUUSDm,[so 0.00%/-0.11/0.00],
687926532,1902047851,2025-01-03 03:20:04,1735874404441,0,1,0,1902036907,6,0.02,2664.954,0.0,0.0,-5.11,0.0,XAUUSDm,[so 0.00%/-0.11/0.00],
688158006,1902285389,2025-01-03 10:17:29,1735899449266,0,0,0,1902285389,1,0.02,2656.1150000000002,0.0,0.0,0.0,0.0,XAUUSDm,,
688158145,1902285527,2025-01-03 10:17:35,1735899455645,0,0,0,1902285527,1,0.02,2656.0570000000002,0.0,0.0,0.0,0.0,XAUUSDm,,
688159796,1902287177,2025-01-03 10:19:00,1735899540305,0,0,0,1902287177,1,0.02,2656.224,0.0,0.0,0.0,0.0,XAUUSDm,,
688175689,1902303388,2025-01-03 10:38:08,1735900688160,0,0,0,1902303388,1,0.02,2653.861,0.0,0.0,0.0,0.0,XAUUSDm,,
688175832,1902303548,2025-01-03 10:38:20,1735900700319,0,0,0,1902303548,1,0.02,2653.596,0.0,0.0,0.0,0.0,XAUUSDm,,
688286904,1902460701,2025-01-03 13:20:21,1735910421304,1,1,0,1902287177,6,0.02,2651.268,0.0,0.0,-9.91,0.0,XAUUSDm,[so 0.00%/-0.24/0.00],
688286905,1902460702,2025-01-03 13:20:21,1735910421305,1,1,0,1902285389,6,0.02,2651.268,0.0,0.0,-9.69,0.0,XAUUSDm,[so 0.00%/-0.24/0.00],
688286906,1902460703,2025-01-03 13:20:21,1735910421306,1,1,0,1902285527,6,0.02,2651.268,0.0,0.0,-9.57,0.0,XAUUSDm,[so 0.00%/-0.24/0.00],
688286907,1902460704,2025-01-03 13:20:21,1735910421308,1,1,0,1902303388,6,0.02,2651.268,0.0,0.0,-5.18,0.0,XAUUSDm,[so 0.00%/-0.24/0.00],
688286908,1902460705,2025-01-03 13:20:21,1735910421309,1,1,0,1902303548,6,0.02,2651.268,0.0,0.0,-4.65,0.0,XAUUSDm,[so 0.00%/-0.24/0.00],
707447636,1930679923,2025-01-22 13:17:04,1737551824435,1,0,0,1930679923,1,0.02,2759.4900000000002,0.0,0.0,0.0,0.0,XAUUSDm,,
707447694,1930679990,2025-01-22 13:17:09,1737551829914,1,0,0,1930679990,1,0.02,2759.179,0.0,0.0,0.0,0.0,XAUUSDm,,
707448433,1930680788,2025-01-22 13:17:48,1737551868360,1,0,0,1930680788,1,0.01,2759.79,0.0,0.0,0.0,0.0,XAUUSDm,,
707536393,1930770333,2025-01-22 13:52:51,1737553971831,1,0,0,1930770333,1,0.02,2755.367,0.0,0.0,0.0,0.0,XAUUSDm,,
707539752,1930773557,2025-01-22 13:53:45,1737554025179,1,0,0,1930773557,1,0.02,2756.299,0.0,0.0,0.0,0.0,XAUUSDm,,
